Designator,Mid X,Mid Y,Rotation,Layer
C1,-44.98,0.05,270.0,bottom
C10,-65.278,38.227,180.0,bottom
C11,-65.325,59.125,180.0,bottom
C12,-65.278,68.453,180.0,bottom
C13,-65.278,83.5406,180.0,bottom
C14,-65.278,98.679,180.0,bottom
C15,-33.782,104.521,0.0,bottom
C16,-33.782,89.4334,0.0,bottom
C17,-33.782,74.295,0.0,bottom
C18,-33.782,59.2074,0.0,bottom
C19,-33.782,44.069,0.0,bottom
C2,-42.98,0.05,270.0,bottom
C20,-33.8328,28.956,0.0,bottom
C21,-34.036,13.716,0.0,bottom
C22,-22.7584,-25.8572,270.0,bottom
C23,-47.4472,-25.8572,270.0,bottom
C24,-71.9836,-38.2016,270.0,bottom
C25,-72.136,-62.7888,270.0,bottom
C26,-50.3174,-75.1434,270.0,bottom
C27,-47.4472,-50.4952,270.0,bottom
C28,-22.8092,-50.4444,270.0,bottom
C29,-25.6794,-75.1332,270.0,bottom
C3,-38.955,-6.9,0.0,bottom
C30,-1.0414,-75.123,270.0,bottom
C31,1.778,-50.4952,270.0,bottom
C32,1.8796,-25.8572,270.0,bottom
C33,26.416,-25.908,270.0,bottom
C34,26.4668,-50.4952,270.0,bottom
C35,23.5,-75.1,270.0,bottom
C36,48.2346,-75.1078,270.0,bottom
C37,49.2,-60.7,270.0,bottom
C38,51.2064,-50.4952,270.0,bottom
C39,51.1048,-25.908,270.0,bottom
C4,-38.905,3.3,0.0,bottom
C40,72.8726,-38.166,270.0,bottom
C41,72.898,-62.7888,270.0,bottom
C5,-61.5646,-3.1816,270.0,bottom
C6,-61.568,0.25,90.0,bottom
C7,-46.98,0.05,270.0,bottom
C8,-65.278,8.001,180.0,bottom
C9,-65.278,23.0886,180.0,bottom
D1,-65.3375,10.908,180.0,bottom
D10,-33.805,71.36999999999999,0.0,bottom
D11,-33.805,56.257,0.0,bottom
D12,-33.805,41.144,0.0,bottom
D13,-33.805,26.031000000000002,0.0,bottom
D14,-33.805,10.791,0.0,bottom
D15,-31.496,-25.659000000000002,180.0,bottom
D16,-56.134,-25.6887,180.0,bottom
D17,-80.772,-38.0077,180.0,bottom
D18,-80.772,-62.616,180.0,bottom
D19,-56.134,-74.9647,180.0,bottom
D2,-65.428,26.021,180.0,bottom
D20,-56.134,-50.326699999999995,180.0,bottom
D21,-31.496,-50.297,180.0,bottom
D22,-31.496,-74.9647,180.0,bottom
D23,-6.858,-74.935,180.0,bottom
D24,-6.858,-50.297,180.0,bottom
D25,-6.858,-25.659000000000002,180.0,bottom
D26,17.78,-25.659000000000002,180.0,bottom
D27,17.78,-50.297,180.0,bottom
D28,17.78,-74.9647,180.0,bottom
D29,42.418,-74.935,180.0,bottom
D3,-65.301,41.134,180.0,bottom
D30,42.418,-60.3288,180.0,bottom
D31,42.418,-50.297,180.0,bottom
D32,42.418,-25.6887,180.0,bottom
D33,67.056,-37.977999999999994,180.0,bottom
D34,67.056,-62.616,180.0,bottom
D35,-49.6824,13.208,90.0,bottom
D4,-65.3375,56.247,180.0,bottom
D5,-65.301,71.36,180.0,bottom
D6,-65.3375,86.473,180.0,bottom
D7,-65.301,101.586,180.0,bottom
D8,-33.805,101.596,0.0,bottom
D9,-33.805,86.483,0.0,bottom
J1,-44.0,38.5,90.0,bottom
J2,-55.625,37.46,270.0,bottom
J3,-57.3068,53.36,180.0,bottom
J4,-49.6612,53.36,180.0,bottom
J5,-42.1936,53.36,180.0,bottom
R1,-65.151,4.318,0.0,bottom
R10,-45.5972,51.6076,90.0,bottom
R2,-53.014,51.6076,90.0,bottom
R3,-53.014,55.0112,90.0,bottom
R4,-56.134,-56.6166,0.0,bottom
R44,-60.634,51.6076,90.0,bottom
R45,-60.634,55.0112,270.0,bottom
R46,-53.98,-7.35,180.0,bottom
R47,-56.98,-7.35,0.0,bottom
R5,-31.496,-56.6166,0.0,bottom
R6,-6.858,-56.6166,0.0,bottom
R7,17.78,-56.6166,0.0,bottom
R8,42.418,-56.6166,0.0,bottom
R9,-45.5972,55.0112,90.0,bottom
SW1,-56.89,-16.8248,180.0,bottom
SW10,-7.6096,-41.4628,180.0,bottom
SW11,-7.6096,-66.1008,180.0,bottom
SW12,17.0284,-16.8248,180.0,bottom
SW13,41.6664,-41.4628,180.0,bottom
SW14,17.0284,-41.4628,180.0,bottom
SW15,17.0284,-66.1008,180.0,bottom
SW16,41.6664,-16.8248,180.0,bottom
SW17,66.3044,-29.143800000000002,180.0,bottom
SW18,66.3044,-53.781800000000004,180.0,bottom
SW19,41.6664,-66.1008,180.0,bottom
SW2,-81.5236,-29.143800000000002,180.0,bottom
SW3,-81.5236,-53.781800000000004,180.0,bottom
SW4,-56.8856,-66.1008,180.0,bottom
SW5,-32.2476,-16.8248,180.0,bottom
SW6,-56.8856,-41.4628,180.0,bottom
SW7,-32.2476,-41.4628,180.0,bottom
SW8,-32.2476,-66.1008,180.0,bottom
SW9,-7.6096,-16.8248,180.0,bottom
U2,-53.98,-1.05,90.0,bottom
U3,-35.405,-2.0,180.0,bottom
